Subject,GenExec,ProcSpeed
268749,0.5613100000000001,0.7495
270332,1.49078,1.35576
274542,-1.8701900000000002,0.04565
275645,0.63952,-0.25251
280739,-1.42913,-0.59308
280941,0.6963600000000001,0.95265
281135,-0.81492,-0.40618000000000004
285345,-0.81598,-1.47708
285446,0.5676100000000001,1.54708
286347,1.37859,-2.30192
286650,-0.8260799999999999,1.52341
287248,-3.7804800000000003,-1.03411
289555,-2.2878,0.24447
298051,0.17764000000000002,0.6827
299154,1.60039,-0.7035600000000001
300719,0.9688899999999999,1.0127700000000002
303119,-0.09932,1.05962
303624,0.84414,-0.33694
304020,-1.0769600000000001,0.28817
308331,-1.31005,-1.69888
309636,0.7964100000000001,1.3804299999999998
310621,-0.39359,0.26125
316633,0.61322,0.4807
318637,0.6222,-0.68403
329844,-0.1342,1.51377
330324,0.46446000000000004,0.47608999999999996
341834,1.11389,1.56771
348545,-0.73625,1.10781
349244,1.04187,0.89431
361234,-0.9100299999999999,-0.79122
366042,0.38711999999999996,0.8048
368551,0.3428,0.8330700000000001
368753,0.13184,1.68829
376247,1.00376,0.26026
378756,1.18242,0.13848
379657,-0.77049,-0.54869
380036,1.29409,0.6926
391748,0.9974299999999999,2.16718
394956,-0.09422,0.11265
395251,1.06948,-0.06054
395756,-0.36444,-0.08465
397154,1.15923,-0.22741
397861,0.14653,0.26275
401422,-0.32379,2.03837
412528,-1.22187,0.7923100000000001
414229,1.4859200000000001,1.2041899999999999
421226,1.6718099999999998,1.1119
422632,-1.48403,-0.13928
424939,0.58799,0.78633
436239,0.17912999999999998,-0.92768
448347,1.11329,1.4007399999999999
449753,0.57691,0.34349
459453,-1.39115,0.56411
461743,-0.8757299999999999,-1.1325399999999999
463040,0.74173,-1.26158
467351,0.29943000000000003,0.7027399999999999
475855,-0.44893,-0.67257
486759,1.04856,0.53818
497865,-1.93523,-0.10686
510225,0.35011,0.36805
510326,-0.27213000000000004,0.32064000000000004
513736,1.3145799999999999,1.32742
516742,0.50003,-0.8354600000000001
518746,-0.8541799999999999,-0.5896100000000001
529953,0.55486,-0.58187
548250,1.2580200000000001,1.50641
552241,-0.57065,-1.7972400000000002
553344,-0.17185999999999998,-1.7287099999999997
555348,-2.05261,-1.9678099999999998
555651,-0.9788399999999999,0.47285
